League_Name,Team_Name,Season,Player_Name,Scores
Fußball-Bundesliga,Augsburg,2024,Kristijan Jakić,2
Fußball-Bundesliga,Augsburg,2024,Ohis Felix Uduokhai,2
Fußball-Bundesliga,RB Leipzig,2024,David Raum,2
Fußball-Bundesliga,RB Leipzig,2024,Timo Werner,2
Fußball-Bundesliga,RB Leipzig,2024,Emil Forsberg,2
Fußball-Bundesliga,RB Leipzig,2024,Amadou Haidara,2
Fußball-Bundesliga,RB Leipzig,2024,Mohamed Simakan,2
Fußball-Bundesliga,Dortmund,2024,Emre Can,2
Fußball-Bundesliga,Dortmund,2024,Ian Maatsen,2
Fußball-Bundesliga,Dortmund,2024,Jadon Sancho,2
Fußball-Bundesliga,Dortmund,2024,Nico Schlotterbeck,2
Fußball-Bundesliga,Köln,2024,Damion Downs,2
Fußball-Bundesliga,Union Berlin,2024,Danilho Doekhi,2
Fußball-Bundesliga,Union Berlin,2024,Brenden Aaronson,2
Fußball-Bundesliga,Bochum,2024,Felix Passlack,2
Fußball-Bundesliga,Bochum,2024,Patrick Osterhage,2
Fußball-Bundesliga,Bochum,2024,Moritz Broschinski,2
Fußball-Bundesliga,Bochum,2024,Christopher Antwi-Adjei,2
Fußball-Bundesliga,Darmstadt 98,2024,Julian Justvan,2
Fußball-Bundesliga,Darmstadt 98,2024,Christoph Klarer,2
Fußball-Bundesliga,Heidenheim,2024,Jan Schöppner,2
Fußball-Bundesliga,Heidenheim,2024,Patrick Mainka,2
Serie A,Juventus,2024,Daniele Rugani,2
Serie A,Juventus,2024,Kenan Yıldız,2
Serie A,Juventus,2024,Andrea Cambiaso,2
Serie A,Hellas Verona,2024,Diego Coppola,2
Serie A,Atalanta,2024,Luis Muriel,2
Serie A,Atalanta,2024,El Bilal Touré,2
Serie A,Atalanta,2024,Davide Zappacosta,2
Serie A,Udinese,2024,Walace,2
Serie A,Udinese,2024,Keinan Davis,2
Serie A,Udinese,2024,Oier Zarraga,2
Serie A,Udinese,2024,Martín Payero,2
Serie A,Inter,2024,Matteo Darmian,2
Serie A,Inter,2024,Tajon Buchanan,2
Serie A,Inter,2024,Alexis Sánchez,2
Serie A,Inter,2024,Nicolò Barella,2
Serie A,Inter,2024,Henrikh Mkhitaryan,2
Serie A,Inter,2024,Yann Aurel Bisseck,2
Serie A,Bologna,2024,Jens Odgaard,2
Serie A,Bologna,2024,Oussama El Azzouzi,2
Serie A,Bologna,2024,Riccardo Calafiori,2
Serie A,Bologna,2024,Lorenzo De Silvestri,2
Serie A,Bologna,2024,Charalambos Lykogiannis,2
Serie A,Lazio,2024,Patric,2
Serie A,Lazio,2024,Mattéo Guendouzi,2
Serie A,Sassuolo,2024,Nedim Bajrami,2
Serie A,Sassuolo,2024,Matheus Henrique,2
Serie A,Cagliari,2024,Alberto Dossena,2
Serie A,Cagliari,2024,Nahitan Nández,2
Serie A,Cagliari,2024,Ibrahim Sulemana,2
Serie A,Cagliari,2024,Alessandro Deiola,2
Serie A,Cagliari,2024,Gaetano Oristanio,2
Serie A,Cagliari,2024,Kingstone Mutandwa,2
Serie A,Roma,2024,Dean Huijsen,2
Serie A,Fiorentina,2024,Luca Ranieri,2
Serie A,Fiorentina,2024,Alfred Duncan,2
Serie A,Fiorentina,2024,Antonín Barák,2
Serie A,Fiorentina,2024,Riccardo Sottil,2
Serie A,Fiorentina,2024,Christian Kouamé,2
Serie A,Genoa,2024,Vitinha,2
Serie A,Genoa,2024,Mattia Bani,2
Serie A,Genoa,2024,Milan Badelj,2
Serie A,Genoa,2024,Morten Thorsby,2
Serie A,Genoa,2024,Morten Frendrup,2
Serie A,Genoa,2024,Radu Drăgușin,2
Serie A,Milan,2024,Alessandro Florenzi,2
Serie A,Napoli,2024,Elif Elmas,2
Serie A,Torino,2024,Zanos Savva,2
Serie A,Torino,2024,Pietro Pellegri,2
Serie A,Torino,2024,Ricardo Rodríguez,2
Serie A,Empoli,2024,Tommaso Baldanzi,2
Serie A,Frosinone,2024,Reinier,2
